type,priority,storyPoints,complexityScore,riskLevel,hasBlockingDependencies,dependenciesCount,memberLevel,memberAvgCompletionHours,memberAvgDelayHours,memberCompletedTasksCount,memberAvgReopenRate,memberCurrentWorkload,memberAvgWorkLogHours,memberAvgStoryPoints,actualHours
Feature,Medium,3,4,5,0,2,Junior,11.8,1.53,83,0.024,6,18.42,8.73,34.28
Spike,Medium,3,5,2,1,0,Junior,22.61,1.58,69,0.174,11,4.9,4.26,69.13
Improvement,High,2,5,5,0,1,Junior,8.67,0.12,74,0.197,4,10.34,1.59,29.43
Bug,Medium,5,4,1,0,1,Expert,14.28,1.98,24,0.309,4,29.39,8.02,23.57
Feature,High,3,4,2,1,2,Senior,29.25,1.18,41,0.394,0,14.13,6.91,35.81
Feature,Low,8,3,5,0,1,Junior,26.44,4.09,9,0.364,7,16.33,5.2,65.13
Feature,High,1,3,2,0,2,Senior,17.74,3.15,94,0.376,5,6.92,8.65,8.45
Technical Debt,High,5,3,5,0,3,Expert,37.65,6.01,42,0.096,14,21.48,8.65,67.54
Bug,Medium,8,3,5,1,1,Senior,31.45,1.24,67,0.456,4,5.09,7.31,64.61
Improvement,Medium,8,1,5,0,2,Junior,12.18,0.07,88,0.207,12,22.43,9.48,20.48
Feature,Medium,8,1,4,0,0,Junior,19.69,0.56,27,0.006,6,26.39,5.09,22.19
Spike,High,5,5,5,1,2,Junior,35.37,1.12,23,0.334,1,30.7,7.56,132.05
Technical Debt,Medium,13,1,4,1,0,Senior,2.85,0.89,98,0.302,2,20.8,8.48,18.9
Feature,High,3,1,3,0,3,Senior,24.1,2.24,40,0.063,8,12.29,6.72,13.44
Feature,Medium,5,3,1,0,0,Junior,10.81,2.65,60,0.48,4,29.96,5.98,24.94
Feature,Medium,1,3,2,0,0,Senior,4.43,7.55,4,0.281,5,21.29,7.59,8.38
Feature,Low,1,4,2,0,0,Senior,36.69,0.69,96,0.235,7,13.18,4.19,6.11
Bug,Medium,2,3,3,0,0,Expert,33.02,4.35,10,0.199,13,11.97,4.3,11.04
Bug,High,2,4,5,0,0,Senior,9.04,3.67,7,0.105,2,11.9,9.79,19.04
Feature,High,3,4,1,0,1,Senior,33.8,2.87,20,0.476,0,2.92,2.07,28.02
Bug,High,2,1,3,1,3,Expert,7.56,2.2,95,0.351,13,4.45,8.58,10.63
Feature,Medium,1,3,3,0,0,Junior,20.09,1.27,63,0.284,12,4.05,8.1,10.65
Feature,Critical,13,1,2,0,0,Junior,29.58,5.01,4,0.316,3,11.61,1.49,38.56
Feature,High,1,3,4,1,1,Senior,22.28,2.31,33,0.42,13,17.12,7.33,14.41
Bug,Critical,5,1,4,0,0,Senior,34.33,2.35,8,0.318,1,6.02,1.84,21.52
Improvement,Medium,2,1,5,0,2,Senior,25.44,3.27,37,0.057,8,29.15,2.89,10.0
Feature,Medium,13,1,5,0,0,Expert,18.41,2.86,42,0.349,3,3.23,9.62,21.08
Bug,Low,8,5,3,0,1,Senior,37.16,0.62,95,0.282,8,33.14,4.26,58.3
Bug,High,5,1,5,0,0,Expert,3.38,2.09,9,0.483,6,3.53,1.51,3.92
Feature,Low,5,2,4,1,0,Expert,20.56,1.09,11,0.367,14,31.42,5.69,26.19
Bug,Medium,1,2,1,0,2,Junior,27.11,0.62,98,0.172,6,9.86,2.86,4.76
Feature,Medium,21,2,2,1,0,Senior,33.77,2.79,17,0.068,0,34.55,4.84,57.46
Feature,High,8,4,4,1,4,Expert,22.56,0.04,86,0.241,1,18.73,1.91,39.35
Spike,High,8,1,5,1,1,Senior,35.65,0.04,11,0.34,6,1.62,1.86,63.78
Spike,Medium,5,2,2,0,2,Senior,18.2,4.35,30,0.089,11,10.61,5.54,29.86
Technical Debt,Medium,3,4,2,1,4,Senior,14.05,2.41,10,0.325,4,32.97,4.02,33.64
Feature,High,8,2,3,0,0,Junior,39.0,1.16,97,0.413,6,11.19,2.4,76.16
